batter_name,age,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,GB,SO,GDP,BU,fly,year,salary,war,year_born,hand2,cp,tp,1B,FBP,avg,OBP,SLG,OPS,p_year,YAB,YOPS
김민식,29.0,125.0,365.0,310.0,53.0,76.0,9.0,3.0,6.0,109.0,37.0,5.0,2.0,39.0,3.0,0.0,63.0,8.0,11.0,2.0,2018,15000,0.941,1989-06-28,좌타우투,포수,포수,58.0,42.0,0.245,0.33299999999999996,0.35200000000000004,0.685,2019,96.0,0.48100000000000004
한승택,22.0,27.0,30.0,28.0,1.0,5.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,1.0,0.0,2016,2700,-0.258,1994-06-21,우투우타,포수,포수,5.0,1.0,0.179,0.207,0.179,0.386,2017,83.0,0.5660000000000001
한승택,23.0,96.0,91.0,83.0,7.0,19.0,2.0,1.0,0.0,23.0,7.0,0.0,0.0,6.0,1.0,0.0,25.0,1.0,1.0,0.0,2017,3100,-0.14,1994-06-21,우투우타,포수,포수,16.0,7.0,0.22899999999999998,0.289,0.27699999999999997,0.5660000000000001,2018,89.0,0.732
한승택,24.0,61.0,101.0,89.0,10.0,22.0,6.0,0.0,3.0,37.0,15.0,0.0,0.0,7.0,2.0,0.0,24.0,4.0,3.0,0.0,2018,7500,0.493,1994-06-21,우투우타,포수,포수,13.0,9.0,0.247,0.316,0.41600000000000004,0.732,2019,251.0,0.602
황윤호,22.0,10.0,6.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2015,2700,-0.02,1993-09-22,우타우투,2루수,2루수,0.0,1.0,0.0,0.16699999999999998,0.0,0.16699999999999998,2016,12.0,0.166
황윤호,23.0,33.0,12.0,12.0,7.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2016,2700,-0.141,1993-09-22,우타우투,2루수,2루수,1.0,0.0,0.083,0.083,0.083,0.166,2017,15.0,0.502
황윤호,24.0,36.0,17.0,15.0,8.0,2.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,2017,3000,-0.124,1993-09-22,우타우투,2루수,2루수,1.0,2.0,0.133,0.235,0.267,0.502,2018,57.0,0.375
황윤호,25.0,82.0,62.0,57.0,11.0,9.0,1.0,0.0,0.0,10.0,4.0,2.0,2.0,0.0,3.0,0.0,6.0,2.0,2.0,0.0,2018,3100,-0.486,1993-09-22,우타우투,2루수,2루수,8.0,3.0,0.158,0.2,0.175,0.375,2019,123.0,0.7240000000000001
김선빈,19.0,112.0,322.0,278.0,39.0,71.0,2.0,2.0,0.0,77.0,24.0,5.0,9.0,30.0,2.0,0.0,40.0,8.0,10.0,2.0,2008,2400,0.527,1989-12-18,우투우타,유격수,유격수,67.0,32.0,0.255,0.33,0.27699999999999997,0.607,2009,116.0,0.742
김선빈,20.0,72.0,129.0,116.0,29.0,34.0,9.0,1.0,0.0,45.0,6.0,8.0,2.0,10.0,1.0,0.0,13.0,2.0,2.0,0.0,2009,3500,0.777,1989-12-18,우투우타,유격수,유격수,24.0,11.0,0.293,0.354,0.38799999999999996,0.742,2010,348.0,0.715
김선빈,21.0,115.0,406.0,348.0,40.0,102.0,14.0,2.0,1.0,123.0,28.0,23.0,7.0,34.0,6.0,0.0,44.0,5.0,14.0,4.0,2010,4500,2.269,1989-12-18,우투우타,유격수,유격수,85.0,40.0,0.293,0.36200000000000004,0.353,0.715,2011,335.0,0.753
김선빈,22.0,98.0,412.0,335.0,58.0,97.0,12.0,2.0,4.0,125.0,47.0,22.0,9.0,50.0,2.0,0.0,42.0,8.0,20.0,5.0,2011,7000,2.96,1989-12-18,우투우타,유격수,유격수,79.0,52.0,0.29,0.38,0.373,0.753,2012,441.0,0.73
김선빈,23.0,126.0,532.0,441.0,63.0,124.0,19.0,2.0,5.0,162.0,55.0,30.0,12.0,58.0,2.0,0.0,48.0,9.0,25.0,6.0,2012,11000,3.878,1989-12-18,우투우타,유격수,유격수,98.0,60.0,0.281,0.363,0.36700000000000005,0.73,2013,310.0,0.725
김선빈,24.0,88.0,363.0,310.0,51.0,93.0,12.0,0.0,1.0,108.0,29.0,28.0,14.0,39.0,2.0,0.0,26.0,10.0,8.0,4.0,2013,18000,2.276,1989-12-18,우투우타,유격수,유격수,80.0,41.0,0.3,0.377,0.348,0.725,2014,93.0,0.645
김선빈,27.0,6.0,27.0,25.0,3.0,9.0,2.0,1.0,0.0,13.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,2016,13000,0.284,1989-12-18,우투우타,유격수,유격수,6.0,1.0,0.36,0.385,0.52,0.905,2017,476.0,0.897
김선빈,28.0,137.0,529.0,476.0,84.0,176.0,34.0,1.0,5.0,227.0,64.0,4.0,4.0,39.0,5.0,4.0,40.0,10.0,5.0,4.0,2017,8000,5.047,1989-12-18,우투우타,유격수,유격수,136.0,44.0,0.37,0.42,0.47700000000000004,0.897,2018,424.0,0.747
김선빈,29.0,127.0,492.0,424.0,73.0,125.0,17.0,2.0,4.0,158.0,49.0,4.0,1.0,48.0,9.0,1.0,42.0,10.0,6.0,5.0,2018,28000,1.527,1989-12-18,우투우타,유격수,유격수,102.0,57.0,0.295,0.374,0.373,0.747,2019,394.0,0.731
안치홍,19.0,123.0,415.0,371.0,53.0,87.0,13.0,4.0,14.0,150.0,38.0,8.0,5.0,32.0,2.0,1.0,103.0,10.0,7.0,3.0,2009,2400,0.669,1990-07-02,우투우타,2루수,2루수,56.0,34.0,0.235,0.297,0.40399999999999997,0.7010000000000001,2010,461.0,0.7659999999999999
안치홍,20.0,133.0,537.0,461.0,79.0,134.0,21.0,3.0,8.0,185.0,50.0,18.0,5.0,49.0,7.0,1.0,96.0,12.0,16.0,4.0,2010,6000,3.238,1990-07-02,우투우타,2루수,2루수,102.0,56.0,0.29100000000000004,0.365,0.401,0.7659999999999999,2011,378.0,0.804
안치홍,21.0,115.0,433.0,378.0,54.0,119.0,21.0,4.0,5.0,163.0,46.0,9.0,4.0,33.0,3.0,1.0,55.0,13.0,17.0,2.0,2011,10000,3.277,1990-07-02,우투우타,2루수,2루수,89.0,36.0,0.315,0.373,0.431,0.804,2012,489.0,0.725
안치홍,22.0,132.0,558.0,489.0,60.0,141.0,31.0,2.0,3.0,185.0,64.0,20.0,3.0,42.0,6.0,4.0,74.0,12.0,14.0,7.0,2012,12500,3.716,1990-07-02,우투우타,2루수,2루수,105.0,48.0,0.28800000000000003,0.34700000000000003,0.37799999999999995,0.725,2013,414.0,0.645
안치홍,23.0,118.0,484.0,414.0,56.0,103.0,15.0,0.0,3.0,127.0,39.0,16.0,1.0,52.0,6.0,0.0,74.0,13.0,7.0,5.0,2013,20000,1.614,1990-07-02,우투우타,2루수,2루수,85.0,58.0,0.249,0.33799999999999997,0.307,0.645,2014,434.0,0.934
안치홍,26.0,10.0,43.0,36.0,3.0,8.0,2.0,0.0,0.0,10.0,1.0,0.0,0.0,5.0,0.0,0.0,8.0,2.0,1.0,1.0,2016,15000,-0.124,1990-07-02,우투우타,2루수,2루수,6.0,5.0,0.222,0.31,0.278,0.5880000000000001,2017,487.0,0.8859999999999999
안치홍,27.0,132.0,545.0,487.0,95.0,154.0,29.0,2.0,21.0,250.0,93.0,7.0,0.0,43.0,4.0,1.0,70.0,19.0,6.0,5.0,2017,22000,4.232,1990-07-02,우투우타,2루수,2루수,102.0,47.0,0.316,0.373,0.513,0.8859999999999999,2018,494.0,0.955
안치홍,28.0,130.0,549.0,494.0,88.0,169.0,38.0,1.0,23.0,278.0,118.0,5.0,1.0,36.0,10.0,1.0,57.0,13.0,0.0,9.0,2018,32000,4.382,1990-07-02,우투우타,2루수,2루수,107.0,46.0,0.342,0.392,0.563,0.955,2019,362.0,0.792
황대인,19.0,22.0,44.0,44.0,3.0,12.0,2.0,0.0,2.0,20.0,7.0,0.0,0.0,0.0,0.0,0.0,18.0,3.0,0.0,0.0,2015,3000,-0.353,1996-02-10,우투우타,1루수,지명타자,8.0,0.0,0.273,0.273,0.455,0.728,2016,7.0,1.5719999999999998
이창진,23.0,4.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2014,2400,0.068,1991-03-04,우투우타,중견수,중견수,0.0,0.0,0.5,0.5,1.0,1.5,2015,19.0,0.411
이창진,27.0,20.0,30.0,29.0,5.0,5.0,1.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,2018,2400,-0.295,1991-03-04,우투우타,중견수,중견수,4.0,1.0,0.172,0.2,0.207,0.407,2019,400.0,0.745
김주찬,19.0,60.0,52.0,48.0,22.0,15.0,3.0,2.0,0.0,22.0,5.0,7.0,2.0,3.0,1.0,0.0,16.0,0.0,0.0,0.0,2000,2400,0.35700000000000004,1981-03-25,우투우타,1루수,좌익수,10.0,4.0,0.312,0.365,0.45799999999999996,0.823,2001,300.0,0.813
김주찬,20.0,86.0,333.0,300.0,57.0,94.0,21.0,4.0,4.0,135.0,31.0,29.0,8.0,24.0,2.0,0.0,56.0,7.0,2.0,5.0,2001,2300,1.807,1981-03-25,우투우타,1루수,좌익수,65.0,26.0,0.313,0.363,0.45,0.813,2002,264.0,0.65
김주찬,21.0,84.0,291.0,264.0,25.0,58.0,13.0,4.0,7.0,100.0,25.0,9.0,8.0,14.0,5.0,0.0,75.0,5.0,7.0,1.0,2002,4100,-0.446,1981-03-25,우투우타,1루수,좌익수,34.0,19.0,0.22,0.271,0.379,0.65,2003,125.0,0.48
김주찬,22.0,55.0,131.0,125.0,12.0,20.0,5.0,1.0,3.0,36.0,3.0,7.0,2.0,5.0,0.0,0.0,33.0,1.0,1.0,0.0,2003,4600,-0.913,1981-03-25,우투우타,1루수,좌익수,11.0,5.0,0.16,0.192,0.28800000000000003,0.48,2004,450.0,0.6659999999999999
김주찬,26.0,113.0,416.0,387.0,49.0,101.0,17.0,1.0,5.0,135.0,30.0,22.0,8.0,13.0,8.0,3.0,69.0,4.0,7.0,1.0,2007,4000,0.568,1981-03-25,우투우타,1루수,좌익수,78.0,21.0,0.261,0.298,0.349,0.647,2008,412.0,0.752
김주찬,27.0,104.0,458.0,412.0,75.0,129.0,16.0,7.0,1.0,162.0,42.0,32.0,18.0,24.0,8.0,0.0,61.0,6.0,9.0,5.0,2008,6600,3.076,1981-03-25,우투우타,1루수,좌익수,105.0,32.0,0.313,0.359,0.39299999999999996,0.752,2009,435.0,0.8069999999999999
김주찬,28.0,109.0,479.0,435.0,77.0,135.0,30.0,5.0,7.0,196.0,51.0,34.0,7.0,28.0,6.0,0.0,56.0,7.0,4.0,6.0,2009,10500,2.26,1981-03-25,우투우타,1루수,좌익수,93.0,34.0,0.31,0.35600000000000004,0.451,0.8069999999999999,2010,485.0,0.71
김주찬,29.0,118.0,535.0,485.0,89.0,134.0,18.0,4.0,9.0,187.0,40.0,65.0,19.0,31.0,5.0,1.0,65.0,5.0,11.0,3.0,2010,15000,1.296,1981-03-25,우투우타,1루수,좌익수,103.0,36.0,0.276,0.324,0.386,0.71,2011,321.0,0.7969999999999999
김주찬,30.0,86.0,371.0,321.0,58.0,100.0,12.0,3.0,6.0,136.0,40.0,25.0,10.0,27.0,7.0,0.0,38.0,4.0,12.0,4.0,2011,17000,2.396,1981-03-25,우투우타,1루수,좌익수,79.0,34.0,0.312,0.373,0.424,0.7969999999999999,2012,435.0,0.7509999999999999
김주찬,31.0,118.0,488.0,435.0,62.0,128.0,27.0,3.0,5.0,176.0,39.0,32.0,13.0,30.0,7.0,1.0,48.0,7.0,11.0,5.0,2012,27000,2.88,1981-03-25,우투우타,1루수,좌익수,93.0,37.0,0.294,0.34600000000000003,0.405,0.7509999999999999,2013,168.0,0.777
김주찬,32.0,47.0,195.0,168.0,24.0,51.0,9.0,4.0,0.0,68.0,28.0,23.0,3.0,15.0,4.0,1.0,18.0,4.0,7.0,1.0,2013,50000,1.3219999999999998,1981-03-25,우투우타,1루수,좌익수,38.0,19.0,0.304,0.37200000000000005,0.405,0.777,2014,399.0,0.9109999999999999
김주찬,33.0,100.0,442.0,399.0,72.0,138.0,32.0,4.0,9.0,205.0,46.0,22.0,10.0,31.0,4.0,2.0,48.0,11.0,6.0,2.0,2014,50000,2.974,1981-03-25,우투우타,1루수,좌익수,93.0,35.0,0.34600000000000003,0.397,0.514,0.9109999999999999,2015,333.0,0.9540000000000001
김주찬,34.0,98.0,377.0,333.0,66.0,109.0,23.0,2.0,18.0,190.0,62.0,8.0,2.0,23.0,12.0,3.0,58.0,10.0,1.0,8.0,2015,50000,3.164,1981-03-25,우투우타,1루수,좌익수,66.0,35.0,0.327,0.38299999999999995,0.5710000000000001,0.9540000000000001,2016,511.0,0.9520000000000001
김주찬,35.0,130.0,555.0,511.0,97.0,177.0,37.0,3.0,23.0,289.0,101.0,9.0,7.0,30.0,7.0,1.0,68.0,13.0,1.0,6.0,2016,50000,4.271,1981-03-25,우투우타,1루수,좌익수,114.0,37.0,0.34600000000000003,0.386,0.5660000000000001,0.9520000000000001,2017,440.0,0.848
김주찬,36.0,122.0,478.0,440.0,78.0,136.0,39.0,2.0,12.0,215.0,70.0,9.0,2.0,31.0,4.0,0.0,59.0,17.0,2.0,1.0,2017,60000,2.342,1981-03-25,우투우타,1루수,좌익수,83.0,35.0,0.309,0.359,0.489,0.848,2018,429.0,0.895
김주찬,37.0,121.0,471.0,429.0,71.0,146.0,23.0,0.0,18.0,223.0,93.0,8.0,1.0,23.0,7.0,5.0,57.0,15.0,2.0,10.0,2018,40000,2.3280000000000003,1981-03-25,우투우타,1루수,좌익수,105.0,30.0,0.34,0.375,0.52,0.895,2019,337.0,0.7140000000000001
최정민,26.0,8.0,15.0,13.0,1.0,4.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,2015,3000,-0.31,1989-06-02,우투좌타,2루수,2루수,4.0,1.0,0.308,0.35700000000000004,0.308,0.665,2016,155.0,0.754
최정민,27.0,88.0,177.0,155.0,29.0,51.0,4.0,1.0,0.0,57.0,11.0,8.0,4.0,8.0,7.0,0.0,48.0,1.0,6.0,1.0,2016,3000,0.433,1989-06-02,우투좌타,2루수,2루수,46.0,15.0,0.32899999999999996,0.386,0.368,0.754,2017,9.0,0.777
최정민,28.0,8.0,9.0,9.0,1.0,3.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2017,5500,-0.018000000000000002,1989-06-02,우투좌타,2루수,2루수,2.0,0.0,0.33299999999999996,0.33299999999999996,0.444,0.777,2018,83.0,0.6679999999999999
최정민,29.0,57.0,95.0,83.0,17.0,21.0,2.0,0.0,2.0,29.0,6.0,1.0,3.0,7.0,1.0,0.0,20.0,2.0,4.0,0.0,2018,5500,-0.364,1989-06-02,우투좌타,2루수,2루수,17.0,8.0,0.253,0.319,0.349,0.6679999999999999,2019,5.0,0.0
유민상,26.0,15.0,45.0,38.0,5.0,10.0,1.0,0.0,1.0,14.0,6.0,1.0,0.0,5.0,1.0,0.0,9.0,1.0,0.0,1.0,2015,3200,-0.055,1989-04-13,좌타우투,1루수,1루수,8.0,6.0,0.263,0.35600000000000004,0.368,0.7240000000000001,2016,213.0,0.779
유민상,27.0,95.0,254.0,213.0,30.0,60.0,12.0,1.0,4.0,86.0,37.0,1.0,1.0,25.0,9.0,0.0,39.0,8.0,3.0,4.0,2016,3200,0.238,1989-04-13,좌타우투,1루수,1루수,43.0,34.0,0.282,0.375,0.40399999999999997,0.779,2017,30.0,0.6699999999999999
유민상,28.0,15.0,33.0,30.0,4.0,7.0,1.0,0.0,1.0,11.0,2.0,1.0,0.0,2.0,1.0,0.0,8.0,1.0,0.0,0.0,2017,4500,0.041,1989-04-13,좌타우투,1루수,1루수,5.0,3.0,0.233,0.303,0.36700000000000005,0.6699999999999999,2018,48.0,0.904
유민상,29.0,31.0,58.0,48.0,9.0,13.0,2.0,1.0,3.0,26.0,14.0,0.0,0.0,8.0,0.0,0.0,14.0,3.0,0.0,2.0,2018,4500,0.28800000000000003,1989-04-13,좌타우투,1루수,1루수,7.0,8.0,0.271,0.36200000000000004,0.542,0.904,2019,175.0,0.8490000000000001
최정용,20.0,48.0,61.0,54.0,10.0,16.0,1.0,1.0,0.0,19.0,2.0,0.0,0.0,3.0,0.0,0.0,16.0,0.0,4.0,0.0,2016,2700,0.066,1996-10-24,좌타우투,2루수,2루수,14.0,3.0,0.29600000000000004,0.33299999999999996,0.35200000000000004,0.685,2017,6.0,0.762
류승현,21.0,35.0,85.0,75.0,9.0,23.0,3.0,1.0,1.0,31.0,13.0,0.0,0.0,7.0,1.0,0.0,12.0,2.0,1.0,1.0,2018,2900,0.16399999999999998,1997-07-01,우투좌타,1루수,3루수,18.0,8.0,0.307,0.369,0.413,0.782,2019,150.0,0.633
고영우,23.0,29.0,11.0,11.0,7.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2013,2400,-0.162,1990-01-08,우투우타,3루수,2루수,1.0,0.0,0.091,0.091,0.091,0.182,2014,24.0,0.315
고영우,24.0,21.0,27.0,24.0,4.0,2.0,2.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,1.0,0.0,6.0,0.0,0.0,1.0,2014,2800,-0.487,1990-01-08,우투우타,3루수,2루수,0.0,2.0,0.083,0.14800000000000002,0.16699999999999998,0.315,2015,52.0,0.464
고영우,25.0,82.0,57.0,52.0,17.0,8.0,2.0,0.0,1.0,13.0,4.0,7.0,3.0,4.0,0.0,0.0,15.0,0.0,1.0,0.0,2015,3200,-0.519,1990-01-08,우투우타,3루수,2루수,5.0,4.0,0.154,0.214,0.25,0.464,2016,70.0,0.569
고영우,26.0,63.0,81.0,70.0,18.0,15.0,3.0,0.0,0.0,18.0,4.0,3.0,2.0,7.0,3.0,0.0,15.0,1.0,1.0,0.0,2016,6000,-0.387,1990-01-08,우투우타,3루수,2루수,12.0,10.0,0.214,0.312,0.257,0.569,2017,38.0,0.547
윤해진,23.0,68.0,101.0,90.0,17.0,24.0,2.0,0.0,0.0,26.0,6.0,5.0,3.0,6.0,2.0,0.0,22.0,2.0,3.0,0.0,2012,2400,0.34600000000000003,1989-02-25,우투우타,3루수,유격수,22.0,8.0,0.267,0.327,0.289,0.616,2013,54.0,0.36
윤해진,24.0,47.0,59.0,54.0,11.0,8.0,1.0,0.0,0.0,9.0,4.0,3.0,2.0,2.0,1.0,0.0,15.0,1.0,2.0,0.0,2013,2400,-0.464,1989-02-25,우투우타,3루수,유격수,7.0,3.0,0.14800000000000002,0.193,0.16699999999999998,0.36,2014,2.0,2.0
윤해진,25.0,5.0,3.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,2400,0.136,1989-02-25,우투우타,3루수,유격수,2.0,1.0,1.0,1.0,1.0,2.0,2015,35.0,0.475
윤해진,26.0,28.0,38.0,35.0,4.0,6.0,1.0,0.0,1.0,10.0,2.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,1.0,1.0,2015,2400,0.14800000000000002,1989-02-25,우투우타,3루수,유격수,4.0,1.0,0.171,0.18899999999999997,0.28600000000000003,0.475,2016,30.0,0.479
이우성,22.0,2.0,5.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2016,2800,-0.06,1994-07-17,우타우투,좌익수,좌익수,1.0,0.0,0.2,0.2,0.2,0.4,2017,2.0,0.0
이우성,23.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2017,2800,-0.052000000000000005,1994-07-17,우타우투,좌익수,좌익수,0.0,0.0,0.0,0.0,0.0,0.0,2018,177.0,0.6479999999999999
이우성,24.0,71.0,199.0,177.0,24.0,40.0,9.0,0.0,4.0,61.0,24.0,1.0,2.0,16.0,4.0,0.0,57.0,6.0,1.0,1.0,2018,2800,-0.551,1994-07-17,우타우투,좌익수,좌익수,27.0,20.0,0.226,0.303,0.345,0.6479999999999999,2019,151.0,0.645
유재신,21.0,54.0,97.0,93.0,19.0,24.0,2.0,1.0,0.0,28.0,7.0,7.0,2.0,1.0,1.0,0.0,19.0,2.0,2.0,0.0,2008,2000,0.096,1987-11-21,우투우타,좌익수,좌익수,21.0,2.0,0.258,0.27399999999999997,0.301,0.575,2009,4.0,0.0
유재신,25.0,58.0,96.0,85.0,14.0,20.0,2.0,2.0,0.0,26.0,7.0,5.0,2.0,6.0,0.0,0.0,20.0,0.0,4.0,1.0,2012,2400,0.142,1987-11-21,우투우타,좌익수,좌익수,16.0,6.0,0.235,0.28300000000000003,0.306,0.589,2013,20.0,0.504
유재신,26.0,75.0,23.0,20.0,22.0,4.0,0.0,0.0,0.0,4.0,2.0,7.0,8.0,2.0,1.0,0.0,9.0,1.0,0.0,0.0,2013,3200,-0.221,1987-11-21,우투우타,좌익수,좌익수,4.0,3.0,0.2,0.304,0.2,0.504,2014,2.0,0.0
유재신,27.0,23.0,2.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,4200,-0.037000000000000005,1987-11-21,우투우타,좌익수,좌익수,0.0,0.0,0.0,0.0,0.0,0.0,2015,27.0,0.6659999999999999
유재신,28.0,62.0,32.0,27.0,21.0,7.0,2.0,0.0,0.0,9.0,3.0,10.0,1.0,3.0,0.0,0.0,10.0,2.0,2.0,0.0,2015,6000,0.38,1987-11-21,우투우타,좌익수,좌익수,5.0,3.0,0.259,0.33299999999999996,0.33299999999999996,0.6659999999999999,2016,62.0,0.619
유재신,29.0,93.0,74.0,62.0,20.0,16.0,0.0,0.0,0.0,16.0,6.0,16.0,7.0,10.0,0.0,0.0,12.0,0.0,2.0,0.0,2016,6000,-0.254,1987-11-21,우투우타,좌익수,좌익수,16.0,10.0,0.258,0.361,0.258,0.619,2017,18.0,0.485
유재신,30.0,25.0,20.0,18.0,4.0,4.0,0.0,0.0,0.0,4.0,1.0,3.0,1.0,1.0,0.0,0.0,6.0,0.0,1.0,0.0,2017,6000,-0.107,1987-11-21,우투우타,좌익수,좌익수,4.0,1.0,0.222,0.263,0.222,0.485,2018,33.0,1.1920000000000002
유재신,31.0,46.0,40.0,33.0,19.0,14.0,3.0,1.0,1.0,22.0,8.0,4.0,0.0,7.0,0.0,0.0,10.0,0.0,0.0,0.0,2018,6500,0.238,1987-11-21,우투우타,좌익수,좌익수,9.0,7.0,0.424,0.525,0.667,1.1920000000000002,2019,51.0,0.6609999999999999
이인행,26.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2017,3100,-0.097,1991-06-30,좌타우투,우익수,우익수,0.0,0.0,0.0,0.0,0.0,0.0,2018,1.0,0.0
이인행,27.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,3200,-0.055,1991-06-30,좌타우투,우익수,우익수,0.0,0.0,0.0,0.0,0.0,0.0,2019,16.0,0.5660000000000001
문선재,23.0,93.0,240.0,217.0,31.0,58.0,10.0,1.0,4.0,82.0,25.0,8.0,5.0,13.0,3.0,0.0,71.0,1.0,6.0,1.0,2013,2500,0.195,1990-05-20,우투우타,좌익수,1루수,43.0,16.0,0.267,0.316,0.37799999999999995,0.6940000000000001,2014,20.0,0.45
문선재,24.0,22.0,24.0,20.0,4.0,3.0,1.0,0.0,0.0,4.0,4.0,3.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,1.0,2014,7500,-0.078,1990-05-20,우투우타,좌익수,1루수,2.0,3.0,0.15,0.25,0.2,0.45,2015,212.0,0.6779999999999999
